Head	annotation
2-phenethylamine	C16:0
2-phenethylamine	C18:0
2-phenethylamine	C2:0
2-phenethylamine	C3:0
2-phenethylamine	C4:0
2-phenethylamine	C5:0
Cadaverine	C2:0
Cadaverine	C3:0
Cadaverine	C5:0
Cadaverine	C6:0
Cadaverine	C7:0
Cadaverine	C16:0
Dopamine	C2:0
Glutamic acid	C18:0
Histamine	C2:0
Histamine	C3:0
Histamine	C4:0
Histamine	C5:0
Histamine	C6:0
Leucine	C16:0
Methionine	C2:0
Putrescine	C6:0
Serotonin	C2:0
Tryptophan	C3:0
Tyramine	C16:0
Tyramine	C3:0
Tyramine	C6:0
Valine	C16:0
