	Head	annotation
0	Arginine	C4:0
1	Tryptophan	C4:0
2	Methionine	C4:0
3	Histidine	C5:0
4	Glutamic acid	C5:0
5	Phenylalanine	C4:0
6	Arginine	C5:0
7	Tyrosine	C4:0
8	Tryptamine	C4:0
10	Lysine	C5:0
11	Methionine	C5:0
12	Phenylalanine	C5:0
13	Tyrosine	C5:0
14	Tryptophan	C5:0
15	Histamine	C5:0
16	Citrulline	C6:0
17	Histidine	C6:0
18	Arginine	C6:0
19	Leucine	C6:0
20	Tryptamine	C5:0
21	Lysine	C6:0
22	Phenylalanine	C6:0
23	Methionine	C6:0
24	Tryptophan	C6:0
25	Phenylalanine	C7:0
26	Tryptamine	C6:0
27	Serine	C7:0
28	Leucine	C7:0
29	Tyrosine	C6:0
30	Tryptophan	C7:0
32	Citrulline	C8:0
33	Leucine	C8:0
34	Histidine	C8:0
35	Glutamic acid	C8:0
36	Tyrosine	C7:0
37	Tryptamine	C7:0
38	Methionine	C8:0
39	Phenylalanine	C8:0
40	Lysine	C8:0
41	Arginine	C8:0
42	Serine	C9:0
44	Tyrosine	C8:0
45	Spermidine	C9:0
46	Tryptophan	C8:0
47	Serine	C8:0
48	Alanine/Sarcosine	C10:0
49	Tyrosine	C9:0
50	Histamine	C8:0
52	Citrulline	C10:0
53	Leucine	C10:0
54	Glutamic acid	C10:0
56	Histidine	C10:0
58	Glutamine	C10:0
59	Arginine	C10:0
60	Lysine	C10:0
61	Taurine	C10:0
64	Methionine	C10:0
65	Serine	C10:0
66	Tyrosine	C10:0
67	Dopamine	C10:0
68	Tryptophan	C10:0
69	Phenylalanine	C10:0
71	Tryptamine	C10:0
72	Tryptamine	C11:0
73	Citrulline	C11:0
74	Arginine	C12:0
75	Alanine/Sarcosine	C12:0
76	Arginine	C11:0
77	Aminoadipic acid	C10:0
81	Histidine	C12:0
82	Citrulline	C12:0
83	Glutamine	C12:0
85	Glutamic acid	C12:0
86	Phenylalanine	C12:0
87	Lysine	C12:0
88	Serine	C12:0
89	Methionine	C12:0
90	Taurine	C12:0
91	Leucine	C12:0
92	Tryptamine	C12:0
94	Putrescine	C12:0
95	Tyrosine	C12:0
96	Arginine	C13:0
98	Aminoadipic acid	C12:0
99	Citrulline	C13:0
100	Amylamine	C12:0
101	Glutamine	C13:0
103	Tryptophan	C13:0
105	Methionine	C13:0
106	Arginine	C14:0
107	Taurine	C13:0
108	Alanine/Sarcosine	C14:0
109	Glutamine	C14:0
111	Histidine	C14:0
112	Citrulline	C14:0
113	Leucine	C14:0
115	Lysine	C14:0
116	Methionine	C14:0
117	Tyrosine	C14:0
118	Phenylalanine	C14:0
119	Ornithine	C14:0
121	Tryptamine	C14:0
122	Putrescine	C14:0
123	Alanine/Sarcosine	C15:0
124	Aminoadipic acid	C14:0
125	Serine	C14:0
126	Tryptophan	C14:0
127	Amylamine	C14:0
128	Arginine	C15:0
129	Asparagine	C15:0
130	Lysine	C15:0
131	Histamine	C14:0
132	Citrulline	C15:0
133	Glutamine	C15:0
134	Glutamic acid	C15:0
135	Ornithine	C15:0
137	Methionine	C15:0
138	Leucine	C15:0
139	Histidine	C15:0
140	Tryptophan	C15:0
141	Phenylalanine	C15:0
143	Serine	C15:0
144	Tryptamine	C15:0
145	Tyrosine	C15:0
146	Citrulline	C16:0
147	Amylamine	C15:0
148	Alanine/Sarcosine	C16:0
150	Asparagine	C16:0
151	Glutamine	C16:0
152	Glutamic acid	C16:0
153	Arginine	C16:0
154	Glycine	C16:0
155	Histidine	C16:0
156	Phenylalanine	C16:0
157	Methionine	C16:0
158	Serine	C16:0
159	Taurine	C16:0
161	Ornithine	C16:0
162	Leucine	C16:0
163	Tyrosine	C16:0
164	Lysine	C16:0
166	Putrescine	C16:0
168	Tryptamine	C16:0
169	Alanine/Sarcosine	C17:0
170	Tryptophan	C16:0
171	Arginine	C17:0
172	Amylamine	C16:0
173	Spermidine	C16:0
174	Citrulline	C17:0
175	Glutamic acid	C17:0
177	Serine	C17:0
178	Tryptophan	C17:0
179	Asparagine	C17:0
180	Lysine	C17:0
181	Glutamine	C17:0
182	Leucine	C17:0
183	Alanine/Sarcosine	C18:0
184	Tryptamine	C17:0
185	Arginine	C18:0
186	Glutamine	C18:0
187	Tyrosine	C17:0
188	Phenylalanine	C17:0
189	Glutamic acid	C18:0
190	Histidine	C18:0
191	Glycine	C18:0
192	Leucine	C18:0
193	Phenylalanine	C18:0
194	Taurine	C18:0
195	Methionine	C18:0
196	Tryptophan	C18:0
197	Lysine	C18:0
198	Tryptamine	C18:0
200	Serine	C18:0
201	Tyrosine	C18:0
203	Amylamine	C18:0
205	Alanine/Sarcosine	C19:0
206	Tryptophan	C19:0
207	Glutamic acid	C19:0
208	Phenylalanine	C19:0
209	Tyrosine	C19:0
210	Tryptamine	C19:0
211	Tryptamine	C20:0
212	Alanine/Sarcosine	C20:0
213	Leucine	C19:0
214	Glutamic acid	C21:0
215	Phenylalanine	C21:0
216	Tryptophan	C22:0
217	Leucine	C21:0
218	Amylamine	C20:0
220	Tryptamine	C22:0
221	Amylamine	C22:0
222	Tryptamine	C23:0
223	Amylamine	C23:0
225	Phenylalanine	C24:0
226	Leucine	C11:1
227	Tryptamine	C24:0
228	Tryptophan	C24:0
229	Amylamine	C24:0
230	Arginine	C11:1
231	Taurine	C11:1
232	Glutamic acid	C11:1
233	Arginine	C12:1
234	Lysine	C11:1
235	Tyrosine	C12:1
236	Phenylalanine	C11:1
237	Tryptamine	C11:1
239	Glutamine	C13:1
240	Glutamic acid	C13:1
241	Phenylalanine	C13:1
242	Leucine	C13:1
244	Arginine	C13:1
245	Putrescine	C11:1
246	Putrescine	C13:1
247	Arginine	C14:1
249	Alanine/Sarcosine	C14:1
250	Amylamine	C13:1
251	Citrulline	C14:1
253	Glutamine	C14:1
254	Histidine	C14:1
255	Asparagine	C14:1
256	Methionine	C14:1
257	Aminoadipic acid	C14:1
259	Putrescine	C14:1
260	Serine	C14:1
261	Arginine	C15:1
262	Tyrosine	C14:1
263	Phenylalanine	C14:1
264	Taurine	C14:1
265	Tryptamine	C14:1
266	Leucine	C14:1
267	Asparagine	C15:1
269	Citrulline	C15:1
270	Glutamine	C15:1
271	Taurine	C15:1
272	Phenylalanine	C15:1
273	Serine	C15:1
274	Amylamine	C15:1
275	Asparagine	C16:1
276	Alanine/Sarcosine	C16:1
278	Glutamine	C16:1
280	Glutamic acid	C15:1
281	Citrulline	C16:1
282	Arginine	C16:1
283	Glutamic acid	C16:1
284	Lysine	C16:1
286	Leucine	C16:1
287	Methionine	C16:1
288	Taurine	C16:1
289	Phenylalanine	C16:1
290	Ornithine	C16:1
291	Histidine	C16:1
292	Serine	C16:1
294	Putrescine	C16:1
295	Tyrosine	C16:1
297	Tryptophan	C16:1
298	Spermidine	C16:1
299	Amylamine	C16:1
300	Arginine	C17:1
